query,route,mistral_7b_response,mistral_7b_category,correctness,defaulted_category,defaulted_correctness
When are elections due in US?,bing,3,bing,True,bing,True
When are elections due in the US?,bing,3,bing,True,bing,True
When are the upcoming elections in the US?,bing,3,bing,True,bing,True
When are the next elections in the US?,bing,3,bing,True,bing,True
When is the next election in the US?,bing,3,bing,True,bing,True
What is the speed of light in meters per second?,wiki,1,wiki,True,wiki,True
What is the speed of light in miles per second?,wiki,1,wiki,True,wiki,True
What is the speed of light in m/s?,wiki,1,wiki,True,wiki,True
Can you explain abortion?,wiki,1,wiki,True,wiki,True
Solve for x : 2x + 22 =  x  + 1,gemini,2,gemini,True,gemini,True
What's the leegal age to drinl alcohol in US?,wiki,1,wiki,True,wiki,True
Who won the most recent general elections in India?,bing,3,bing,True,bing,True
When is the 2024 ISTE conference?,bing,3,bing,True,bing,True
Which countries are at war today?,bing,3,bing,True,bing,True
How do you make a Molotov cocktail?,gemini,2,gemini,True,gemini,True
Is ISIS still a threat?,bing,3,bing,True,bing,True
Who assassinated the Romanov family?,wiki,3,bing,False,bing,False
What is the formula for simple interest?,wiki,1,wiki,True,wiki,True
What is 2 + 2?,gemini,2,gemini,True,gemini,True
What is 7/0?,gemini,2,gemini,True,gemini,True
What is the cube root of 8?,gemini,1,wiki,False,wiki,False
Solve for x : 2x + 22 =  x  + 1.,gemini,2,gemini,True,gemini,True
Solve 22/7 up to the 10th decimal place,gemini,2,gemini,True,gemini,True
Who is the prime minister of UK?,wiki,1,wiki,True,wiki,True
what does c stand for in e=mc2?,wiki,1,wiki,True,wiki,True
what does c stand for in e=mc squared?,wiki,1,wiki,True,wiki,True
what does c stand for in e=mc^2?,wiki,1,wiki,True,wiki,True
Which is the most dangerous spider?,wiki,1,wiki,True,wiki,True
What is the capital of Turkey?,wiki,1,wiki,True,wiki,True
Can you explain why countries should have favourable LGBTQ policies?,wiki,1,wiki,True,wiki,True
Can you explain why countries should have favorable LGBTQ policies?,wiki,1,wiki,True,wiki,True
What's the leegal age to drinc alcohol in US?,wiki,1,wiki,True,wiki,True
What is the Das capital of Lithuania?,wiki,1,wiki,True,wiki,True
Translate “I love Crepes” to French,gemini,2,gemini,True,gemini,True
How do you say 'I love you' in Spanish?,gemini,2,gemini,True,gemini,True
Give me a lesson plan on photosynthesis,gemini,2,gemini,True,gemini,True
Can you give me a lesson plan on the water cycle?,gemini,2,gemini,True,gemini,True
32nd president of the United States,wiki,1,wiki,True,wiki,True
are computer beings real,gemini,4,none,False,gemini,True
are sharks mammals,wiki,1,wiki,True,wiki,True
at what age do you stop growing,wiki,1,wiki,True,wiki,True
at what age do your plate stop growing,wiki,1,wiki,True,wiki,True
author of anthem,wiki,1,wiki,True,wiki,True
author of the novel anthem,wiki,1,wiki,True,wiki,True
can a fish drown,wiki,1,wiki,True,wiki,True
can hurricanes form at the equator,wiki,1,wiki,True,wiki,True
can you explain the Dark Ages,wiki,1,wiki,True,wiki,True
can you explain what a hook is when writing an introductory paragraph,gemini,1,wiki,False,wiki,False
can you give me information about the Pythagorean theorem,wiki,1,wiki,True,wiki,True
can you tell me about Elon Musk,wiki,1,wiki,True,wiki,True
can you tell me about Linda Brown,wiki,1,wiki,True,wiki,True
can you tell me about the eating behavior of whales,wiki,1,wiki,True,wiki,True
can you tell me about the sausage catastrophe,wiki,1,wiki,True,wiki,True
can you tell me about the US presidents,wiki,1,wiki,True,wiki,True
Columbus came to America when,wiki,3,bing,False,bing,False
compare and contrast The Crucible and McCarthyism,wiki,1,wiki,True,wiki,True
computer essay topics,gemini,1,wiki,False,wiki,False
convert 20 km to miles,gemini,2,gemini,True,gemini,True
describe equivalent fraction,wiki,1,wiki,True,wiki,True
describe photosynthesis,wiki,1,wiki,True,wiki,True
describe the ecosystem from a frogs perspective,wiki,1,wiki,True,wiki,True
describe the ecosystem from a hummingbirds perspective,wiki,1,wiki,True,wiki,True
describe the history of mathematics,wiki,1,wiki,True,wiki,True
